StoreCode,Date,TotalSales,TotalAmount
gMrrU,2065-08-18,5477,454591
yYKlJ,2058-11-03,2564,135892
vlExD,2103-10-09,9539,820354
unHPa,2044-03-27,3615,231360
Ijovy,2103-03-04,5740,493640
jPInm,2118-08-30,8971,529289
gkiUJ,2055-12-31,5306,466928
cSwhe,2105-09-27,2567,159154
zKGLk,2121-01-28,5125,343375
HRRep,2093-10-26,3418,119630
cAurE,2074-08-16,6524,600208
YhtWY,2040-08-19,3157,148379
eSItw,2103-08-30,5965,399655
flkSX,2072-09-23,6425,501150
ltOdM,2108-06-29,8494,535122
iwuQa,2078-02-20,2052,47196
KcZRO,2118-08-15,8060,80600
yGEPn,2056-05-26,9995,519740
ZPCiI,2119-03-21,6536,300656
clyey,2067-09-28,7389,524619
ptuHY,2067-10-10,5241,497895
DSLiG,2066-05-03,4126,57764
tkjTV,2077-04-09,7683,76830
jpOue,2037-04-21,7457,738243
gHtBk,2099-06-14,2119,197067
HaQbW,2092-11-10,8679,442629
lPFrF,2075-01-05,8446,388516
zNqnr,2047-06-06,7482,441438
oSLEf,2120-07-17,5698,455840
XOeGK,2050-06-15,3457,141737
MkhmR,2043-03-03,6849,328752
HDFVh,2105-12-21,7408,400032
bZNrv,2097-11-15,3662,219720
qqMRa,2109-01-27,9525,85725
yuPlp,2030-03-11,6894,620460
EgDVY,2073-10-02,3464,180128
oJRnH,2094-01-03,5352,331824
Ulvwf,2119-04-27,4204,348932
Zdkte,2111-09-26,4623,41607
vuCOP,2074-11-05,4232,139656
kLAcH,2066-04-07,7000,637000
XGhbO,2106-08-21,9289,222936
XQaHJ,2021-10-30,7621,442018
xHllz,2022-06-23,2308,122324
XEmIJ,2046-03-09,2370,109020
orpMr,2101-12-13,8462,194626
jyrvB,2039-05-03,6047,338632
DiWdM,2112-05-05,4917,113091
pJbdt,2063-10-19,8445,743160
aQesR,2081-07-09,6423,321150
yaVEF,2078-06-15,9918,912456
NRoJG,2120-10-04,6403,262523
aTfZz,2078-10-28,3038,72912
