StoreCode,Date,TotalSales,TotalAmount
meNtD,2112-12-29,9929,248225
pIQTk,2086-05-02,2110,198340
ExDQm,2033-09-18,6214,515762
bXRMv,2046-01-13,6018,595782
yBnce,2075-10-14,6680,140280
scuvi,2122-01-16,8295,696780
pgqEq,2072-06-13,7711,131087
ytYLT,2056-11-05,5165,284075
LDiYP,2030-02-12,9860,226780
WKkXA,2044-06-18,7376,250784
ABviR,2118-05-26,8611,189442
hJegb,2060-09-02,4932,345240
HKTiq,2057-08-05,8413,740344
OHnow,2114-09-11,4088,77672
FlrAk,2032-01-21,9233,461650
RFgpa,2065-01-12,7518,308238
saQBN,2079-08-09,8779,842784
Jkjcg,2106-03-01,3704,170384
nPQjP,2076-05-17,9116,665468
NdXau,2065-01-10,3474,149382
eNHsM,2058-10-06,2295,80325
ntjoe,2053-11-19,7388,110820
uJhPn,2083-03-07,9600,470400
AXiBL,2108-09-26,6061,266684
CqZhn,2108-09-27,7292,430228
CYcPN,2056-08-05,5754,63294
DpXrY,2042-07-07,4949,232603
JZmGM,2035-06-16,5731,149006
NAqcA,2062-05-01,2193,188598
lTPEo,2092-07-21,8478,135648
sTXYe,2056-10-29,3975,99375
gsXOr,2026-10-07,7125,78375
YRwUE,2072-08-25,8290,348180
RHAuO,2055-01-26,7451,335295
INYMj,2077-04-04,5595,95115
qNgVE,2092-11-11,4912,383136
bPUCM,2119-08-21,2453,220770
NyHOc,2041-04-16,5353,326533
pwnlB,2033-07-26,4540,167980
jcBdh,2079-11-24,4268,345708
byOjC,2108-03-07,8026,481560
AaqJK,2052-07-30,3679,264888
tzcPa,2119-10-14,8933,491315
Hkqpu,2122-09-13,3852,335124
Iizvd,2112-09-29,2605,75545
RDqil,2119-04-24,8467,778964
uHVWC,2097-09-09,6223,435610
RJhmE,2061-06-04,8036,610736
XvqqP,2026-09-23,6851,82212
xWhJf,2113-10-12,8741,236007
yGLBj,2079-12-23,2297,103365
dNYXo,2025-03-26,9174,752268
synBh,2023-11-05,7516,330704
hgXTv,2056-07-30,3438,44694
QscgK,2119-12-26,5706,251064
uDZNS,2121-10-13,7571,257414
