StoreCode,Date,TotalSales,TotalAmount,Is Vacation Day
ukwKz,2035-10-10,3072,55296,false
fROpz,2099-02-07,7955,190920,true
SOpJC,2045-09-11,8716,217900,true
dEUJN,2062-02-28,8574,754512,true
SIymk,2070-10-25,9499,949900,false
dGlTK,2021-05-16,3720,48360,true
rKzml,2074-12-17,7242,637296,true
lbbAI,2116-02-28,5043,499257,false
DJjpR,2094-03-16,2588,150104,false
hejzM,2116-09-08,6519,228165,false
oZZEy,2089-02-17,3011,75275,true
HytDf,2051-12-04,5229,465381,true
ImKgR,2035-01-11,6649,212768,true
bzqhj,2098-12-18,8130,317070,true
JtNFm,2099-03-16,6258,237804,true
gIBGn,2022-10-16,2552,178640,false
BYHfs,2091-05-22,3109,46635,false
jSYfC,2114-12-01,7487,748700,false
XfDRz,2071-11-16,6307,252280,false
wuyow,2108-07-07,5245,152105,false
GhoWI,2093-11-29,8081,492941,false
LWALp,2054-10-02,2745,79605,false
kImZj,2035-08-13,3904,140544,false
xUZHW,2103-12-27,9213,386946,true
XHXCu,2104-02-21,5747,390796,true
LrRYP,2027-01-16,9418,452064,false
ZTCzx,2034-11-23,8858,726356,false
GaflA,2062-01-06,6028,132616,false
xXQVx,2097-06-15,7476,411180,true
yoPMM,2114-02-21,7452,223560,true
fnifp,2053-07-07,4429,225879,true
UBiHD,2082-06-17,3552,202464,false
pHkIy,2101-10-21,4536,36288,true
hAamr,2064-06-13,5020,155620,true
NGGPn,2023-06-12,8623,413904,true
PieYt,2049-07-25,7687,761013,true
BBviV,2119-11-28,8974,161532,true
WGIMR,2064-02-16,4504,229704,false
Fcoqj,2026-01-24,6732,653004,false
zxbcV,2064-02-16,2713,217040,false
aqXjv,2104-02-26,5357,208923,true
HwABJ,2037-05-09,5206,442510,true
pwxsm,2090-02-14,7974,287064,true
AxKjw,2105-04-26,6946,659870,false
KhQou,2030-05-31,4589,243217,true
FVLXv,2043-06-01,5089,330785,false
LzYQM,2090-04-16,9016,901600,false
eiFNn,2042-09-13,7112,412496,false
HTneU,2104-01-12,6616,595440,true
woWTU,2084-06-05,3211,44954,true
afDKH,2081-09-29,2220,106560,false
fXnQd,2052-04-24,3600,151200,true
nDWOq,2102-03-12,8616,198168,false
mgRkA,2060-01-23,5423,395879,false
rwALY,2021-12-15,5025,497475,true
bGjFI,2069-03-31,2617,15702,true
OjAxV,2074-05-09,5475,71175,true
pliSK,2024-08-06,9163,870485,false
dkzSF,2044-06-18,8626,672828,false
MuwFP,2041-09-26,7035,189945,true
cfFWu,2099-08-16,2442,109890,true
xfVbw,2050-07-14,5900,365800,true
xBRCe,2061-01-30,3660,212280,false
AiXGp,2071-04-20,9810,716130,true
COxZZ,2067-12-30,8903,863591,true
DgDLy,2032-05-27,7441,44646,true
yqSqM,2090-01-02,3320,53120,false
KuELV,2096-05-22,3519,31671,false
LQmGM,2040-03-22,7913,490606,false
gMrrU,2093-05-30,2928,87840,false
yYKlJ,2077-11-20,9393,56358,true
vlExD,2030-08-31,2109,56943,true
unHPa,2071-08-10,8473,449069,false
Ijovy,2048-04-16,9393,563580,false
jPInm,2107-05-21,3423,280686,false
gkiUJ,2117-02-16,3923,309917,false
cSwhe,2038-08-01,7368,361032,true
zKGLk,2029-06-19,9202,653342,false
HRRep,2109-11-11,3213,231336,false
cAurE,2030-04-28,3449,151756,true
YhtWY,2032-06-04,6948,514152,false
eSItw,2083-03-07,4604,391340,true
flkSX,2079-08-27,5475,481800,false
ltOdM,2111-06-15,2120,46640,false
iwuQa,2112-02-23,3343,36773,false
KcZRO,2079-12-09,8751,866349,false
yGEPn,2120-12-07,6920,138400,true
ZPCiI,2025-07-11,6770,487440,true
clyey,2111-01-07,2329,69870,true
ptuHY,2072-09-15,5560,467040,true
DSLiG,2067-07-19,7602,144438,true
tkjTV,2101-05-26,4570,452430,false
jpOue,2107-03-04,5587,78218,true
gHtBk,2039-09-27,3107,105638,true
HaQbW,2100-08-05,3872,255552,false
lPFrF,2108-04-04,5496,401208,false
zNqnr,2052-11-03,9839,580501,false
oSLEf,2105-06-12,4940,24700,true
XOeGK,2091-10-24,3768,346656,true
MkhmR,2113-03-25,5572,278600,true
HDFVh,2087-11-19,8681,390645,true
bZNrv,2062-06-14,7596,98748,true
qqMRa,2119-12-18,5564,50076,false
yuPlp,2032-08-21,8006,496372,true
EgDVY,2047-11-16,8966,71728,false
oJRnH,2070-07-31,8428,58996,true
Ulvwf,2074-06-03,4735,85230,false
Zdkte,2076-09-07,2745,200385,false
vuCOP,2082-05-10,7374,73740,true
kLAcH,2115-12-18,4443,124404,false
XGhbO,2064-07-02,6105,146520,false
XQaHJ,2050-11-03,7369,250546,false
xHllz,2029-02-25,3024,84672,false
XEmIJ,2053-05-07,7833,587475,true
orpMr,2066-01-28,3644,327960,false
jyrvB,2089-09-30,4257,242649,true
DiWdM,2083-02-24,2943,285471,false
pJbdt,2031-06-12,4246,360910,true
aQesR,2022-12-30,7890,481290,true
yaVEF,2053-07-21,6386,51088,true
NRoJG,2058-08-31,8186,564834,false
aTfZz,2095-08-17,3819,68742,true
oWLEE,2044-05-01,2682,53640,true
yutoT,2036-04-25,9605,941290,false
dGvdC,2064-06-16,6616,529280,true
AYYHE,2036-11-02,6833,471477,false
Pqphe,2029-03-09,8790,580140,true
VZEKW,2120-09-28,7533,135594,false
WRVNv,2100-01-25,9580,948420,true
iHfaD,2050-02-08,3121,34331,false
alDAd,2025-12-18,8278,190394,true
flZxQ,2034-04-18,5682,56820,true
NoAhW,2032-07-19,7585,121360,false
MRUez,2093-07-02,8312,74808,true
