StoreCode,TotalSales,TotalAmount
yTBDy,8612,51672
CueVE,4561,278221
qkxue,8784,87840
LYhDl,6791,54328
gndlW,3188,149836
Lmlko,5071,238337
JWBfD,5873,58730
bIJKs,2859,177258
wqsBh,6755,391790
UcLrz,2189,120395
QOSbc,8607,378708
sMqHg,8612,232524
ehiBf,9229,55374
ddZJd,2362,222028
CrzOh,9068,208564
RDaEM,9375,196875
djmvH,7880,70920
ndGUZ,7516,278092
vOfCn,6891,241185
BTaZB,6541,431706
Bxwxe,8930,196460
aaCPZ,9313,549467
BlIdp,9710,77680
VBYtQ,7761,714012
ZpOOw,2094,35598
fRyHQ,6567,144474
ttEre,9892,672656
XfzNT,9003,396132
KFoSd,7835,250720
WTDQv,6411,237207
MkNMD,2610,169650
KBamU,6321,575211
xViNc,7022,280880
gKIyA,4594,399678
OdkJD,5483,126109
zxAJF,2232,91512
Igdvq,3502,77044
wiIhA,2350,115150
FnFgI,7565,317730
wJMYW,8197,385259
mjplW,7444,446640
eDTeH,5393,32358
TIOBi,9532,219236
xwKsc,6225,373500
stMiO,8268,529152
HawXD,7694,123104
rfDaa,8811,819423
OXAud,8359,585130
lglks,7099,262663
nTacC,9445,292795
SeDoA,4206,138798
TGccw,7089,503319
XBWmR,7440,394320
gykMD,9493,408199
wEQqZ,3525,116325
NyJnU,7167,129006
DXhHc,3865,162330
qDvAh,3129,206514
nUTHk,8201,721688
acGxm,2792,41880
shnja,9031,252868
KFUGw,2806,86986
UDpYo,3894,81774
LplpW,2608,83456
aZUOR,4888,469248
FWGHn,2895,243180
LtwFp,8662,398452
bRHtm,6386,319300
MkghG,6044,217584
Ikadb,6218,528530
HZIVT,5297,344305
WDVmp,7598,197548
ozDIX,9812,98120
qIDXq,8586,145962
CTQfN,6911,145131
QgAhx,5570,144820
slAcJ,9180,486540
vmrLU,3519,351900
yTHEh,7702,700882
lGoVa,7358,397332
IRJuG,4583,449134
psBFq,2680,64320
VbuxQ,6498,181944
uKndT,5216,73024
fxCIy,4601,276060
zGyGG,6485,570680
uAkbh,5555,255530
EwABN,2428,140824
bxvtl,2107,42140
mqxxj,6204,303996
tsOJz,9569,162673
GzhSX,9186,900228
kvryu,5591,346642
ZwgUp,6741,303345
NUeWz,5273,353291
vKyIK,9516,923052
AmWQO,4408,277704
fQyRo,5225,229900
hjPHN,7272,363600
POqse,4370,384560
EVDgI,2502,127602
IPcfn,7504,135072
MeMGs,5994,539460
jAhpX,8071,524615
uGDff,9491,939609
gOkdO,9130,566060
jWIre,7353,51471
fHpMI,3710,233730
lVMVN,7547,128299
GSRWU,6833,498809
idOvW,6530,274260
VWqbE,4208,126240
vLmKV,8157,391536
aWOOV,5142,35994
kRrkx,4044,368004
QkEUL,5283,443772
uFpQH,7532,512176
rkxtL,9927,714744
talwS,7911,419283
UaAMB,3642,131112
UAeYW,2058,170814
eyUEn,5560,539320
PjnUz,5554,27770
ODyWO,8259,148662
VHTBY,4022,382090
qfuvj,9458,132412
GWKlk,5444,97992
uDRja,5723,120183
xncbm,2821,174902
QqxEp,9124,346712
QrNwO,8262,619650
Sahxf,8308,265856
oRlni,2476,136180
