StoreCode,TotalSales,TotalAmount
NdXau,3024,208656
eNHsM,2434,167946
ntjoe,7757,566261
uJhPn,6280,157000
AXiBL,2953,17718
CqZhn,5122,338052
CYcPN,4141,368549
DpXrY,7647,389997
JZmGM,6929,485030
NAqcA,6351,571590
lTPEo,6489,123291
sTXYe,3692,132912
gsXOr,7155,200340
YRwUE,6350,469900
RHAuO,2504,87640
INYMj,4495,22475
qNgVE,5573,261931
bPUCM,3053,280876
NyHOc,4962,49620
pwnlB,8730,567450
jcBdh,9907,128791
byOjC,2127,89334
AaqJK,9777,743052
tzcPa,7547,52829
Hkqpu,8973,439677
Iizvd,5772,230880
RDqil,7207,482869
uHVWC,2179,95876
RJhmE,3677,301514
XvqqP,6317,157925
xWhJf,3057,82539
yGLBj,9384,525504
dNYXo,7771,699390
synBh,5851,567547
hgXTv,7458,454938
QscgK,7861,479521
uDZNS,3064,88856
gYdPd,7903,513695
swMcN,7997,751718
huOCi,2327,188487
XKpkB,6066,491346
IQIoQ,7900,592500
Pqibt,5178,176052
QLYru,7672,207144
prNjp,7155,658260
ywDgw,5590,257140
EOuGi,2195,65850
qGCvQ,7223,613955
IwMFG,9979,399160
RNCWl,5855,222490
iufYB,6101,219636
anlBU,7809,577866
SPPBt,3132,125280
uDaMI,3859,123488
abUtW,8574,531588
bceYY,9592,805728
yIpfP,4548,31836
iapZh,6047,42329
xqxiX,2983,62643
GpVwe,9467,312411
TfCjo,7085,255060
uSIuL,8113,543571
DKhMG,4650,455700
UMzIr,5440,174080
JEcPe,5838,414498
dHOWb,2294,153698
MTtET,4109,189014
cDvSm,8038,707344
YqlzQ,5154,134004
TIIHZ,4652,200036
tQEig,6092,60920
zEpHg,4890,366750
EJFNk,4352,317696
AvbxV,9969,129597
HpTWl,7904,616512
QCjmN,8707,287331
tzeZO,7313,307146
Kwcjp,4212,328536
pcROx,6360,477000
gAMtd,7947,158940
VjKsx,5381,511195
svunt,2868,238044
YuwRT,8969,816179
hPeiL,2417,154688
uadTG,3659,190268
CcTQy,4798,244698
MfVCP,9199,183980
gfSXb,8702,522120
GPemI,4439,284096
LohWj,6382,108494
AlHDZ,3391,261107
rykeP,9714,106854
hAfge,8963,62741
HMraQ,3743,93575
eRGZG,9839,610018
BzeNi,4755,309075
dnagi,5316,79740
JIrDE,5150,494400
hYddv,4443,382098
NvIxY,7879,709110
geUiu,7213,706874
vFTOt,8934,643248
rLEAw,4805,461280
jTOEa,5615,505350
UufKk,8321,399408
NaMdF,2816,236544
vGgMR,3760,236880
pqzjt,2168,62872
qoWVi,7313,585040
EzcZR,8311,548526
XdLFb,3852,342828
WqIEX,2618,212058
KsXVw,6958,480102
pQOhV,2948,70752
sQwdy,8788,105456
jaMrl,7761,457899
GRjmN,6280,364240
emfQE,6346,418836
wRGlS,4021,152798
YxXHJ,3467,124812
JHBjS,6257,181453
vyoFP,3285,134685
cIism,7792,280512
OSbey,8936,411056
RLQox,5642,349804
DLXXM,2451,215688
oFMyv,7014,680358
FMBqm,2504,212840
RNPtE,6451,238687
zpakt,5286,449310
NLIXr,4986,463698
LWokn,6448,77376
mEnMN,3868,371328
jikCb,5947,154622
hMhBO,6804,517104
iPoPi,9189,771876
dqwSi,2147,186789
fQpRI,9606,374634
PqbsG,2218,28834
DTWMq,7161,408177
gwbWS,6256,156400
yaSLi,3760,360960
NSXnP,6688,321024
btuqq,4198,348434
rGKjc,6928,214768
AMajW,8573,274336
zmeiH,8154,293544
UodQV,3158,176848
kFoXg,7509,638265
aVuXr,7406,355488
uCgMd,5596,162284
hRuRL,9576,746928
tBSGm,9710,737960
QJNYu,9860,986000
NUyOZ,2000,190000
qSebG,5392,264208
HXgiL,9563,535528
dziKG,8495,560670
xjIiO,2013,128832
rpbLk,4794,129438
DZcGC,5340,331080
CRFfQ,5346,176418
OiMKI,5035,221540
BTAjc,6703,643488
XXAjT,4083,277644
IsNDn,6384,383040
QaUMN,5883,188256
wurcK,8949,644328
kpmEp,4223,92906
iyUdi,5996,509660
TUqOz,2260,155940
TQhEH,2918,122556
vNjvh,9659,753402
nCpCR,8360,292600
OisEW,2239,24629
rzWpv,4698,32886
raUeR,4952,64376
Nmidn,8024,738208
TFkna,4402,347758
fwNoW,3804,319536
Pfnjx,3263,208832
gnIxY,5678,431528
eQsqH,2619,219996
ekYdJ,6269,514058
UqncH,6488,129760
bHvQY,5125,169125
ooFMl,8426,362318
BHMMR,6562,419968
iNHre,2044,53144
vneIJ,8750,201250
LtozY,9607,701311
rDduE,4098,307350
yfBSp,4285,235675
hlorh,9841,718393
hFHEe,3937,31496
ueVpT,5654,350548
kARRM,7376,95888
HeRgG,5596,111920
KtVeF,3717,364266
TYMCc,4072,126232
rPlyx,9339,317526
RwoJX,2998,236842
RnfWE,6940,152680
dLNJC,3466,204494
wRVSD,6525,339300
naVXO,8779,447729
Vhrir,3399,261723
xnqgV,8925,151725
UAlSz,5329,484939
soSos,3640,185640
pBadJ,6536,117648
DiAjh,8001,184023
MGHhA,4036,96864
rWKmx,5241,120543
JuHHk,8671,606970
gosJF,9422,395724
wEXNf,2195,103165
erENa,5290,121670
KIYze,6900,358800
ZITXO,5180,295260
ukwKz,2608,151264
fROpz,7906,458548
SOpJC,4004,92092
dEUJN,8104,486240
SIymk,6491,564717
dGlTK,4606,294784
rKzml,4495,170810
lbbAI,2967,272964
DJjpR,3354,53664
hejzM,8006,288216
oZZEy,8259,487281
HytDf,6015,354885
ImKgR,2699,35087
bzqhj,5895,412650
JtNFm,3751,202554
gIBGn,2324,113876
BYHfs,4619,46190
jSYfC,3122,159222
XfDRz,9670,676900
wuyow,3429,61722
GhoWI,3492,219996
LWALp,4419,410967
kImZj,9331,802466
xUZHW,4583,366640
XHXCu,9601,259227
LrRYP,7157,293437
ZTCzx,9249,258972
GaflA,2152,148488
xXQVx,7581,462441
yoPMM,5898,501330
fnifp,5853,362886
UBiHD,3834,214704
pHkIy,4473,192339
hAamr,7017,596445
NGGPn,7444,647628
PieYt,2324,85988
BBviV,4349,165262
